ImageId,Label
1,5
2,5
3,1
4,9
5,1
6,9
7,5
8,1
9,5
10,1
11,5
12,7
13,1
14,5
15,5
16,5
17,5
18,1
19,1
20,5
21,9
22,1
23,1
24,5
25,1
26,1
27,2
28,5
29,1
30,7
31,7
32,5
33,9
34,5
35,5
36,1
37,5
38,5
39,1
40,5
41,7
42,1
43,5
44,9
45,1
46,2
47,1
48,5
49,0
50,2
51,9
52,5
53,8
54,5
55,5
56,9
57,1
58,2
59,9
60,5
61,1
62,1
63,7
64,5
65,5
66,5
67,1
68,9
69,5
70,1
71,5
72,5
73,5
74,0
75,1
76,5
77,5
78,1
79,9
80,5
81,5
82,9
83,1
84,5
85,9
86,1
87,9
88,5
89,9
90,5
91,5
92,5
93,6
94,0
95,1
96,9
97,5
98,7
99,9
100,1
101,5
102,1
103,2
104,5
105,7
106,5
107,5
108,5
109,5
110,9
111,5
112,5
113,9
114,1
115,1
116,7
117,1
118,1
119,1
120,1
121,5
122,1
123,7
124,8
125,0
126,1
127,1
128,1
129,5
130,5
131,5
132,2
133,0
134,5
135,5
136,5
137,1
138,1
139,5
140,5
141,5
142,1
143,5
144,5
145,1
146,2
147,5
148,1
149,1
150,0
151,2
152,5
153,5
154,0
155,5
156,5
157,7
158,5
159,1
160,2
161,1
162,5
163,5
164,5
165,1
166,2
167,7
168,9
169,1
170,5
171,2
172,7
173,5
174,9
175,1
176,1
177,7
178,9
179,1
180,7
181,9
182,2
183,5
184,2
185,5
186,1
187,2
188,1
189,0
190,5
191,9
192,1
193,5
194,9
195,9
196,5
197,1
198,1
199,5
200,1
201,1
202,1
203,5
204,1
205,9
206,5
207,5
208,2
209,0
210,9
211,5
212,1
213,5
214,0
215,5
216,2
217,1
218,6
219,1
220,1
221,2
222,5
223,1
224,5
225,1
226,0
227,1
228,9
229,1
230,5
231,5
232,0
233,7
234,1
235,7
236,5
237,5
238,5
239,1
240,1
241,5
242,6
243,2
244,5
245,5
246,5
247,9
248,5
249,1
250,5
251,1
252,5
253,1
254,1
255,8
256,5
257,5
258,1
259,1
260,5
261,5
262,5
263,2
264,5
265,1
266,5
267,9
268,5
269,5
270,1
271,5
272,5
273,0
274,5
275,1
276,5
277,0
278,1
279,5
280,9
281,5
282,7
283,5
284,5
285,5
286,1
287,1
288,1
289,9
290,9
291,5
292,1
293,1
294,9
295,0
296,5
297,1
298,5
299,5
300,5
301,9
302,9
303,5
304,2
305,0
306,2
307,1
308,1
309,1
310,5
311,2
312,0
313,9
314,0
315,5
316,5
317,5
318,5
319,1
320,1
321,1
322,1
323,1
324,1
325,5
326,5
327,1
328,1
329,5
330,7
331,0
332,1
333,1
334,2
335,5
336,4
337,5
338,0
339,0
340,0
341,1
342,5
343,1
344,2
345,1
346,5
347,5
348,5
349,1
350,2
351,5
352,1
353,1
354,2
355,1
356,1
357,5
358,9
359,2
360,1
361,1
362,0
363,5
364,2
365,7
366,2
367,5
368,1
369,1
370,5
371,1
372,5
373,9
374,1
375,1
376,9
377,5
378,5
379,5
380,2
381,9
382,1
383,5
384,5
385,2
386,0
387,2
388,1
389,5
390,7
391,1
392,1
393,5
394,9
395,9
396,1
397,1
398,1
399,7
400,5
401,1
402,7
403,9
404,2
405,1
406,1
407,9
408,1
409,0
410,5
411,5
412,5
413,9
414,1
415,5
416,1
417,1
418,1
419,5
420,2
421,9
422,5
423,9
424,5
425,5
426,1
427,1
428,7
429,5
430,1
431,5
432,2
433,5
434,9
435,5
436,1
437,1
438,9
439,5
440,5
441,1
442,9
443,1
444,5
445,0
446,5
447,1
448,5
449,1
450,9
451,0
452,1
453,9
454,9
455,5
456,5
457,9
458,5
459,9
460,6
461,0
462,7
463,5
464,5
465,5
466,1
467,5
468,1
469,9
470,1
471,1
472,5
473,1
474,1
475,0
476,5
477,1
478,1
479,1
480,5
481,5
482,5
483,1
484,5
485,7
486,9
487,1
488,1
489,5
490,2
491,5
492,5
493,5
494,4
495,5
496,5
497,5
498,1
499,1
500,5
501,5
502,5
503,5
504,5
505,1
506,1
507,1
508,1
509,5
510,5
511,1
512,1
513,1
514,2
515,1
516,2
517,1
518,1
519,2
520,5
521,5
522,5
523,5
524,1
525,7
526,1
527,5
528,1
529,1
530,1
531,5
532,5
533,5
534,2
535,1
536,5
537,5
538,5
539,5
540,1
541,5
542,1
543,1
544,1
545,5
546,5
547,5
548,5
549,5
550,1
551,1
552,5
553,5
554,5
555,5
556,5
557,1
558,5
559,0
560,2
561,5
562,5
563,1
564,1
565,5
566,1
567,1
568,1
569,1
570,5
571,9
572,5
573,5
574,5
575,5
576,5
577,8
578,2
579,5
580,2
581,5
582,1
583,5
584,0
585,9
586,1
587,1
588,1
589,5
590,5
591,1
592,5
593,4
594,5
595,5
596,6
597,5
598,5
599,5
600,5
601,5
602,1
603,7
604,1
605,0
606,7
607,5
608,5
609,5
610,1
611,7
612,4
613,5
614,5
615,2
616,9
617,5
618,5
619,5
620,9
621,1
622,1
623,1
624,9
625,5
626,1
627,1
628,5
629,9
630,2
631,9
632,1
633,5
634,9
635,1
636,4
637,7
638,1
639,1
640,5
641,5
642,1
